--------------------------------------[Arrays of size 10]--------------------------------------
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 387328666, time taken: 138 microseconds
[Randmoised Selection] - Median: 387328666, time taken: 295 microseconds
[Median of Medians] - Median: 387328666, time taken: 24 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 685567692, time taken: 2 microseconds
[Randmoised Selection] - Median: 685567692, time taken: 22 microseconds
[Median of Medians] - Median: 685567692, time taken: 6 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 285096869, time taken: 2 microseconds
[Randmoised Selection] - Median: 285096869, time taken: 9 microseconds
[Median of Medians] - Median: 285096869, time taken: 23 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 537617795, time taken: 1 microseconds
[Randmoised Selection] - Median: 537617795, time taken: 8 microseconds
[Median of Medians] - Median: 537617795, time taken: 7 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 374359037, time taken: 2 microseconds
[Randmoised Selection] - Median: 374359037, time taken: 8 microseconds
[Median of Medians] - Median: 374359037, time taken: 6 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 503270870, time taken: 2 microseconds
[Randmoised Selection] - Median: 503270870, time taken: 13 microseconds
[Median of Medians] - Median: 503270870, time taken: 5 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 549007239, time taken: 1 microseconds
[Randmoised Selection] - Median: 549007239, time taken: 9 microseconds
[Median of Medians] - Median: 549007239, time taken: 4 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 606123241, time taken: 2 microseconds
[Randmoised Selection] - Median: 606123241, time taken: 11 microseconds
[Median of Medians] - Median: 606123241, time taken: 4 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 591380891, time taken: 1 microseconds
[Randmoised Selection] - Median: 591380891, time taken: 4 microseconds
[Median of Medians] - Median: 591380891, time taken: 4 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 480249870, time taken: 1 microseconds
[Randmoised Selection] - Median: 480249870, time taken: 7 microseconds
[Median of Medians] - Median: 480249870, time taken: 4 microseconds
--------------------------------------[Arrays of size 20]--------------------------------------
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 442984600, time taken: 3 microseconds
[Randmoised Selection] - Median: 442984600, time taken: 12 microseconds
[Median of Medians] - Median: 442984600, time taken: 7 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 293419151, time taken: 3 microseconds
[Randmoised Selection] - Median: 293419151, time taken: 5 microseconds
[Median of Medians] - Median: 293419151, time taken: 5 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 652773776, time taken: 3 microseconds
[Randmoised Selection] - Median: 652773776, time taken: 8 microseconds
[Median of Medians] - Median: 652773776, time taken: 10 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 413665282, time taken: 4 microseconds
[Randmoised Selection] - Median: 413665282, time taken: 9 microseconds
[Median of Medians] - Median: 413665282, time taken: 10 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 355513952, time taken: 3 microseconds
[Randmoised Selection] - Median: 355513952, time taken: 16 microseconds
[Median of Medians] - Median: 355513952, time taken: 9 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 403738860, time taken: 12 microseconds
[Randmoised Selection] - Median: 403738860, time taken: 9 microseconds
[Median of Medians] - Median: 403738860, time taken: 10 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 445884319, time taken: 4 microseconds
[Randmoised Selection] - Median: 445884319, time taken: 6 microseconds
